bes,besedilo
trúden,"trúden -dna -o prid., trúdnejši (ú ȗ) \n1. ki zaradi zmanjšanja telesnih, duševnih sil ni zmožen opravljati kakega dela: truden delavec, popotnik; bil je že truden; živali so trudne polegle; truden in zaspan; ekspr. truden do smrti / biti truden od poti utrujen\n // ki zaradi dalj časa trajajočega dela, napora izgubi zmožnost zadovoljivo opravljati svojo funkcijo: z dlanjo je podprla trudno glavo; gledati s trudnimi očmi; noge so bile že trudne / ekspr. trudno srce\n2. ekspr. ki izraža, kaže utrujenost: truden glas, pogled; trudni koraki / trudna omama; trudno spanje\n● ekspr. trudni dnevi počasi minevajoči; naporni, utrudljivi; pesn. trudne kaplje s težavo, počasi premikajoče se; ekspr. zatisnil je trudne oči umrl je; pesn. trudna polja polja, neposredno po tem, ko so obrodila\ntrúdno prisl.: trudno se premikati\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
tutú,"tutú in tútu medm. (ȗ; ȗ) posnema glas hupe, trobljenje: pred ovinkom je zatrobil: tutu, tutu / pesn. pomlad je že tu, tututu, so zatrobile trobentice \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
uspávanka,"uspávanka -e ž (ā) preprosta pesem v enakomernem ritmu za uspavanje, zlasti otrok: mati poje otroku uspavanko; ropot koles ga uspava kot uspavanka; pren., pesn. ciprese so mu šepetale uspavanko \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
véja,"véja -e ž (ẹ̑) \n1. oleseneli stranski poganjek lesnatih rastlin: veja ozeleni, vzbrsti; odlomiti, odsekati vejo; drevo je pognalo veje; skakati z veje na vejo; ptič sedi na veji; plezati po vejah; debela, gola, odmrla veja; goste, košate veje; veje jablane; biti prost kot ptiček na veji; živi kot ptiček na veji svobodno, brezskrbno\n // mreža iz vrbovih vej\n2. vsak od manjših, navadno stranskih delov, enot, ki potekajo od česa glavnega: živec se cepi v dve veji; žilna veja / železniška prometna veja; pren. veje zarote segajo v druge države\n3. navadno s prilastkom potomstvo v zaporednih generacijah: avstrijska veja habsburške dinastije / stranska veja (rodu) osebe, ki po rojstvu izhajajo iz skupnega prednika\n // sorodniki po materini, očetovi veji\n4. navadno s prilastkom samostojen del, ki z drugimi tvori določeno širšo dejavnost: to znanstveno področje se deli v več vej; razvijati različne industrijske veje; specializirane veje medicine\n● ekspr. žagajo si vejo, na kateri sedijo ogrožajo si (družbeni) položaj, materialno osnovo; knjiž. točiti pod vejo začasno točiti, prodajati domače vino; ekspr. biti mrtva veja nedejaven, neuspešen član kake skupnosti; ekspr. priti na zeleno vejo gmotno si opomoči; pesn. človek je kot kaplja na veji njegova usoda je negotova; je nepomemben, neznaten\n♦ agr. ogrodne veje prve glavne veje drevesa; lov. veja glavni del roga pri jelenu, na katerem so parožki\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vésna,"vésna -e ž (ẹ̄) \n1. pesn. pomlad: cvetoča vesna; prihod vesne\n2. nav. mn., etn., po ljudskem verovanju vsako od bajeslovnih ženskih bitij, ki prihajajo februarja z gora v dolino budit naravo: pripoved o vesnah\n3. agr. zgodnji krompir domače sorte s svetlo rumenim mesom in belo kožo: saditi vesno / krompir vesna\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vétrov,"vétrov -a -o prid. (ẹ̑) nanašajoč se na veter: vetrova moč / pesn. poleteti na vetrovih perutih \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vezenína,"vezenína -e ž (í) okrasni izdelek, navadno na tkanini, narejen z vezenjem: izdelovati vezenino; svilena, zlata vezenina; vzorec vezenine; bluza z vezenino / narodna vezenina; ročna, strojna vezenina; pren. vezenina spominov; pesn. pravljična vezenina trav\n♦ obrt. arabska vezenina pri kateri so večje oblike prevezene z zlato mrežico; bela vezenina narejena z belo nitjo na belo tkanino \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
ví,"ví vé vé zaim., vàs, vàm, vàs, vàs, vámi (ȋ ẹ̑) \n1. izraža skupino oseb, ki jih govoreči ogovarja\na) imenovalnik se rabi, kadar je poudarjen, zlasti pri izražanju nasprotja ali primerjave: mi tega ne bomo dočakali, morda boste vi; vi ste zdaj še na slabšem kakor mi; tudi ve boste morale sodelovati; ekspr. vsi delamo, vi pa spite; še vi tega ne bi zmogli; elipt. kdo bo za to odgovarjal? Vi; niste vi kar tako / rabi se tudi, kadar je del osebka ali kadar ima prilastek: na izlet bomo šli mi, vi in naši prijatelji; mi gremo po drva, ve ženske pa pripravite vse za pečenje\nb) v odvisnih sklonih se rabi pod poudarkom, s predlogi in na začetku stavka razen pri vprašanjih naglašena oblika, sicer pa nenaglašena: vam se še ne mudi; tudi vas so povabili; okrog vas se zbirajo nevarni ljudje; pri vas je lepo / samo pet vas je menda bilo\n // pesn. izraža, da govoreči ogovarja stvar, pojem, nenavzočo osebo: hej vi, hrasti mogočni; ve, ribice v potoku; o ve, moja mlada leta\n2. izraža osebo, ki jo govoreči ogovarja v množini, jo vika: a, vi gospod ste; vi, sem ga vprašal, kaj pa delate; rešite svojega prijatelja! Kaj vam to mar / pog. ste vi prebral knjigo prebrali\n // ko bi bil jaz vi, bi se ga izogibal na vašem mestu; dovolite, da vam predstavim svoje sodelavce; oprostite, spoštovani, da vas motim / ogovarjati koga z vi\n3. v dajalniku izraža nepoudarjeno svojino, pripadnost: srce vam prehitro bije; stric vam je umrl; kako vam je ime\n4. ekspr., v dajalniku izraža osebno prizadetost: to so vam bili lepi časi; to vam je bil pravi mož; čudovita je in kakšen glas vam ima\n5. izraža nedoločeno osebo, človeka nasploh: blešči se, da vam vid jemlje; hudo je, če vas takole zaničujejo; prim. ti, vidva\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
víno,"víno -a s (í) \n1. alkoholna pijača iz soka grozdja po alkoholnem vrenju: vino teče iz soda; dati komu vina in kruha; piti, točiti vino; pridelovati vino; opiti se z vinom; čisto, motno vino; kislo, naravno vino; to vino je pitno; liter, steklenica vina; razstava vin / belo, rdeče vino; buteljčno, odprto vino; desertno vino; pelinovo vino v kateremu je bil namočen pelin; žlahtna vina / vino vre vinski mošt; ekspr. vino človeka razvname, zmeša alkohol v vinu; pijan od vina; ekspr. iskati tolažbo v vinu v čezmernem pitju vina; ekspr. utopiti jezo, žalost z vinom\n● ekspr. iz njega govori vino v pijanosti ne premisli, kaj reče; šalj. vino mu je stopilo, šlo, zlezlo v glavo opil se je, v noge tako je vinjen, da zelo težko hodi; ekspr. vino ga je spravilo pod mizo tako se je napil, da ni mogel več sedeti, stati; ekspr. vino je prišlo za njim ga je opijanilo šele nekaj časa po pitju; ekspr. naliti, natočiti komu čistega vina povedati mu resnico brez olepšavanja; zastar. žgano vino žganje; preg. v vinu je resnica vinjen človek pove, česar sicer ne bi povedal\n♦ agr. gazirati, rezati, starati, žveplati vino; arhivsko vino navadno najvišje kakovosti, ki je vsaj tri leta zorelo; kakovostno vino (z geografskim poreklom) iz več sort grozdja z ožjega geografskega območja z izraženimi sortnimi lastnostmi; lahko ki vsebuje do 9 odstotkov alkohola, močno vino ki vsebuje več kot 12 odstotkov alkohola; namizno vino brez geografskega porekla najnižje kakovostne stopnje, narejeno iz več sort grozdja; namizno vino z geografskim poreklom iz ene ali več sort grozdja s širšega geografskega območja; peneče (se) vino ki ima dosti ogljikovega dioksida; sladko vino ki ima v enem litru najmanj 50 g sladkorja; suho vino ki ima zaradi zelo majhne količine sladkorja, ki ni povrel, kiselkast ali trpek okus; vrhunsko vino (z geografskim poreklom) iz ene ali več sort grozdja z ozkega geografskega območja z izraženimi izbranimi sortnimi lastnostmi; farm. železno vino nekdaj desertno vino, v katerem je raztopljena železova spojina; gastr. kuhano vino vroča pijača iz prevretega vina, sladkorja in začimb; rel. darovati (pri maši) kruh in vino; mašno vino\n // navadno s prilastkom alkoholna pijača iz sadnega soka po alkoholnem vrenju sploh: češnjevo, malinovo, ribezovo, šipkovo vino / sadna vina\n2. pesn. kar opija, omamlja koga: njegove besede so bile vino našim ušesom\n // s prilastkom opojnost, omamnost: vino ljubezni, sanj; staro, močno vino modrosti\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
višáva,"višáva -e ž (ȃ) nav. ekspr. \n1. zelo visoko ležeč svet: z višave so gledali v dolino; prvi sneg leži na višavah; hoditi po planinskih višavah / bela cerkvica na višavi hribu, gori\n2. prostor, ki je zelo visoko nad zemeljsko površino: zvezde svetijo z višave; letala se dvigajo v višave; pesn. oblaki v sinjih višavah na nebu\n♦ rel. slava Bogu na višavah v nebesih\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
višína,"višína -e ž (í) \n1. razsežnost v navpični smeri navzgor: določati, meriti višino česa; hišo so dozidali v višino / telesna višina; višina stebra, strehe; razmerje med višino in težo / koliko meriš v višino; v kateri višini naj obesim sliko; stena je po vsej višini obložena z lesom\n // oddaljenost od površine, tal v navpični smeri navzgor: letalo je doseglo zaželeno višino; gledati z višine četrtega nadstropja; koča je na višini tisoč petsto metrov / v višini strehe v enaki oddaljenosti od tal kot streha\n2. velikost česa glede na število enot, s katerimi se meri: določiti višino davka; temperatura je dosegla določeno višino; predvideti višino pridelka / posojilo v višini enega mesečnega dohodka / višina kazni\n3. prostor, ki je visoko nad zemeljsko površino: pasti z velike višine; škrjanec je zletel v višino; v višini, ekspr. višinah je krožila kanja / dimniki se dvigajo v višino / pesn. sinje višine nebo; pren., ekspr. sončne višine slave\n4. knjiž. vrh, vzpetina: vojska je zasedla višine okoli mesta; strme višine; kresovi na višinah / gorske višine\n5. publ., navadno s prilastkom stopnja, raven: gledališče je doseglo evropsko višino; obdržati kondicijo na ustrezni višini; umetniška višina drame\n6. lastnost zvoka glede na število nihajev glasilk, strune na sekundo: višino glasu uravnavata glasilki; višina tona\n7. lastnost visokega: občudovati višino nebotičnikov / sobe se zaradi višine stropov težko ogrejejo; strah pred višino\n● pogorje doseže višino dva tisoč metrov je visoko dva tisoč metrov; žarg. letalo je izgubilo višino leteč se je hitro približalo zemlji; publ. nevihta jih je zajela v višini Rta dobrega upanja na geografski širini Rta dobrega upanja\n♦ astr. geocentrična višina zvezde; geogr. absolutna ali nadmorska višina višina kakega kraja nad morsko gladino; relativna višina višina točke na zemeljskem površju glede na višino kake druge točke; mat. višina razdalja točke od izbrane osnove; višina trikotnika razdalja oglišča od nasprotne stranice trikotnika; šport. skok v višino atletska disciplina, pri kateri se skače v navpični smeri; teh. sesalna višina višinska razlika med gladino tekočine, ki se črpa, in črpalko; vet. plečna višina psa višina, merjena od tal do vrha plečnice\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vráta,"vráta vrát s mn. (á) \n1. odprtina v zidu, steni, ki omogoča dostop v notranjost česa: vrata vodijo na ulico, v kuhinjo; zazidati vrata; steči skozi vrata; soba ima dvoje vrat; za to omaro, za voz so vrata preozka; vrata avtobusa, vagona / glavna, stranska vrata; hišna, kletna, sobna vrata; izstopna, vstopna vrata\n // naprava z gibljivo pritrjeno ploščo za zapiranje take odprtine: izdelovati, prodajati vrata; kovana, lesena, steklena vrata; krilo, okvir vrat / balkonska, garažna, vhodna vrata; dvižna, nihalna, vrtljiva vrata / stati med vrati med podboji take naprave; vzidati vrata okvir take naprave\n // gibljivo pritrjena plošča take naprave: natakniti, pritrditi vrata; odpreti, pripreti vrata; trkati na vrata; tolči po vratih; loputati z vrati; kovinska, železna vrata peči; vrata omare so povešena; vrata iz letev, palic / vtakniti ključ v vrata v ključavnico; zakleniti vrata\n2. šport. cilj napada pri nekaterih igrah, predvsem z žogo: braniti vrata; brcniti žogo v vrata / hokejist, nogometaš, vaterpolist strelja na vrata\n // naprava, ki označuje cilj napada: postaviti vrata / žarg. biti že desetkrat v vratih reprezentance biti že desetkrat vratar reprezentance\n3. šport. prostor med dvema označenima palicama, skozi katerega mora peljati tekmovalec pri nekaterih smučarskih, veslaških disciplinah: izpustiti, zgrešiti vrata; kanuist, smučar vozi skozi zadnja vrata / pri smučanju na vodi izhodna, vhodna vrata; pri smuku kontrolna vrata\n // palici, ki označujeta tak prostor: postavljati vrata za slalom\n4. področje, kraj, ki omogoča naraven prehod na kako drugo področje: ta dolina, ravnina so edina vrata na sever; ustje te reke so vrata v notranjost pokrajine / donavska vrata v Vlaško nižino; publ. vrata narodov naravni prehodi med gorovji, skozi katere so potovala ljudstva, zlasti iz Azije v Evropo\n // Postojnska vrata\n // z rodilnikom področje, mesto, skozi katero gre, prihaja, kar izraža določilo: ta morski preliv so pomembna vrata pomorskega prometa\n5. v zvezi z odpreti, pripreti, zapreti omogočiti, onemogočiti komu, da lahko kam gre, kaj naredi: odpreti, pripreti, zapreti vrata tujim vlaganjem; s tem dejanjem si je zaprl vrata za vrnitev / odpreti si vrata v višjo družbo\n● ekspr. pokazati komu vrata narediti, povzročiti, navadno z ostrimi besedami, grobim ravnanjem, da kdo zapusti določen kraj, prostor; ekspr. vrata mu je pred nosom zaprla očitno je pokazala, da ga ne želi sprejeti; ekspr. ponujati izdelke od vrat do vrat od stanovanja, hiše do stanovanja, hiše; trkati na vrata ekspr. zima trka na vrata se začenja; ekspr. divja ljudstva so trkala na vrata države so ogrožala njene meje; publ. trkati na vrata pravice prizadevati si priti do pravice, zlasti s pomočjo sodišča; ekspr. postaviti koga pred vrata dati koga iz službe ali iz stanovanja; ekspr. zima je pred vrati bo kmalu nastopila; knjiž. pustiti vse upe pred vrati taborišča ob vstopu vanj prenehati upati na vrnitev; pog. gledati kakor bik, tele v nova vrata zelo neumno ali začudeno; ekspr. poiskati je treba prava vrata, pa se bo zadeva uredila pravi urad, pravega človeka; stanuje v drugem nadstropju, prva vrata levo v sobi, stanovanju za prvimi vrati levo; ekspr. priti k zdravniku skozi stranska vrata ne po redni, upravičeni, uradni poti; star. tuja vrata ga bijejo po petah nima svojega doma; publ. predlog je povsod naletel na zaprta vrata predloga niso nikjer hoteli sprejeti, podpreti; ekspr. ves dan, kar naprej stati na vratih opazovati, gledati skozi vrata, s praga; prihajati pred vrata in si prizadevati za vstop; publ. seja za zaprtimi vrati brez prisotnosti novinarjev, predstavnikov javnosti; ekspr. vrata našega doma so zate vedno odprta k nam vedno lahko prideš; ekspr. odpreti je moral veliko vrat, da je dobil potrebna potrdila moral je iti v veliko uradov; ekspr. vrata bank, trgovin se zapirajo banke, trgovine se zapirajo; pesn. odprta noč in dan so groba vrata človek lahko vsak trenutek umre; nar. koroško vrata (kozolca) del kozolca med dvema stebroma; okno; preg. zlat ključ vsaka vrata odpre z denarjem se vse doseže\n♦ elektr. vrata preklopno vezje v računalniku, skozi katero v določenih okoliščinah prehaja informacija; grad. smučna vrata ki se premikajo levo ali desno po vodilu; jur. politika odprtih vrat ob koncu 19. in v začetku 20. stoletja politika velesil, temelječa na dogovoru o enakih pogojih gospodarskega udejstvovanja na Kitajskem in v nekaterih afriških deželah\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vstáti,"vstáti vstánem dov. (á ȃ) \n1. spraviti se iz ležečega ali sedečega položaja v pokončnega: govoreči je vstal, da bi ga bolje slišali; hitro, sunkovito vstati; vstati iz postelje, izza mize, s stola / vstati komu odstopiti mu sedež\n // spraviti se v pokončen položaj po spanju, počitku: mati je že vstala, otroci pa še spijo; vstati ob šestih; pozno, zgodaj vstati\n // (po ozdravljenju) zapustiti bolniško posteljo: bolnik je že vstal; en teden ne sme vstati; danes je prvič vstala; kmalu ne bo mogel več vstati / pog. bali so se, da ne bo več vstala iz postelje ozdravela; star. vstati od bolezni\n2. ekspr., v zvezi z od prenehati delati kaj v sedečem položaju: vstati od dela, učenja / težko vstane od knjige preneha brati, se učiti\n3. nav. ekspr., s prislovnim določilom pokazati se višje od okolice: iz morja je vstal otok; pred njim je vstala tovarna / sonce je že vstalo vzšlo\n // pojaviti se premikajoč se s tal navzgor: z jezera je vstala megla; za njimi je vstal oblak prahu / pred njim so vstale čudne pošasti so se pojavile\n // nastati, pojaviti se sploh: na teh tleh je vstala kultura, edinstvena na svetu; pri njih je vstalo novo življenje / sredi noči je vstala burja začela pihati; pojavili so se oblaki in vstal je vihar / vstal mu je dvom, sum začel je dvomiti, sumiti; v srcu mu vstane jeza, skrb, žalost postane jezen, zaskrbljen, žalosten; v ljudeh je vstalo sovraštvo do tujcev začeli so sovražiti tujce\n // v njem so vstale maščevalne misli\n4. ekspr. pojaviti se v zavesti koga: iz pozabe so vstali dogodki iz mladosti; pred njim je vstalo nerešljivo vprašanje / v spominu so mu vstali neznani obrazi spomnil se je neznanih obrazov\n5. ekspr. prenehati biti v negativnem, neugodnem stanju: vstati iz revščine, sužnosti / pesn. vstati od smrtnega spanja / verjeli so, da bo njihova domovina nekoč vstala se obnovila, okrepila; že ugasla ljubezen je spet vstala\n6. ekspr., navadno v zvezi s proti upreti se, začeti nasprotovati komu: ljudstvo je vstalo proti taki odredbi; vstati proti krivici; vstali so kot en mož proti sovražniku\n7. v krščanstvu priti v stanje združitve duše s telesom ob koncu sveta: verovati, da bodo mrtvi vstali / vstati od mrtvih / Kristus je vstal od mrtvih vstal tretji dan po smrti\n● vznes. vstal je velik pesnik, prerok nastopil; ekspr. vstal je vik in krik začeli so se zelo razburjati; ekspr. vstati z levo nogo biti slabo razpoložen; knjiž. vstal je na pot odšel je; od mize je vstal še lačen ni se najedel do sitega\nvstávši zastar.: komaj vstavši ranjenec je spet padel\nvstàl -ála -o: kip vstalega Kristusa; pravkar vstali otrok; krotil je vstalo jezo\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vzbúhniti,"vzbúhniti -em dov. (ú ȗ) \n1. buhniti navzgor: skozi razpoke vzbuhne plamen; pren., pesn. iz gozdov je vzbuhnil upor\n2. preh., ekspr. s silo vreči navzgor: eksplozija je vzbuhnila v zrak zemljo in kamenje\n3. ekspr. nenadoma, silovito se pojaviti: na hrbtu so ji vzbuhnile rdeče otekline / v njem je vzbuhnila jeza\n4. ekspr. z zamolklim glasom eksplodirati: na ulici je vzbuhnila petarda / za vsako malenkost vzbuhne nezadržano, silovito izrazi svojo jezo\n● ekspr. omizje vzbuhne v krohot se nenadoma glasno zasmeje\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vzdrámljati,"vzdrámljati -am nedov. (á) knjiž. zbujati: vzdramljati speče / pesn. v naravi se vzdramlja novo življenje se poraja, nastaja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
vzžuboréti,"vzžuboréti -ím dov. (ẹ́ í) pesn. žuboreč dvigniti se: vrelec vzžubori v nebo / duša vzžubori v glasovih neznane govorice \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zadíhati,"zadíhati -am dov. (í ȋ) \n1. začeti dihati: udaril ga je po hrbtu in otrok je zadihal / po minutah hudega strahu je sproščeno zadihal\n2. vdihniti: z užitkom je zadihal morski zrak; nekajkrat je globoko zadihal / bolnik je od časa do časa slabotno zadihal dihnil; pren. zadihali so svobodo\n● ekspr. zadihati s polnimi pljuči postati prost, svoboden\n3. ekspr. zaživeti: po osvoboditvi so ljudje na novo zadihali / pesn. v dolini je zadihala pomlad se je začela\n // začeti uspevati, shajati: zaslužek se jim je toliko izboljšal, da so zadihali / v ugodnejših razmerah je tudi znanost zadihala se začela polno razvijati\n4. ekspr. rahlo zapihati, zapihljati: od severa je zadihal veter\nzadíhati se priti v stanje, ko se hitro, sunkovito diha, zlasti zaradi premagovanja napora: hiteč po stopnicah, se je zadihal; zadihati se pri teku / zadihati se od strahu\nzadíhan -a -o: zadihan tekač; ves zadihan je prišel na vrh\n● redko šipe so zadihane orošene; prisl.: zadihano je odgovarjal\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zagreníti,"zagreníti -ím dov., zagrénil (ī í) narediti kaj manj prijetno, manj srečno: zagreniti komu mladost; s tem si je zagrenil življenje / te skrbi so mu zagrenile počitnice; pesn. misel, da je ne bo več videl, mu je zagrenila dušo\n // povzročiti, da je kdo žalosten, razočaran: nesreča ga je zagrenila; to ga je tako zagrenilo, da se je začel izogibati družbi\nzagreníti se postati žalosten, razočaran: zaradi teh doživetij se je zagrenil / glas se ji je zagrenil\nzagrenjèn -êna -o: zagrenjen človek; postati zagrenjen; prisl.: zagrenjeno molčati\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zapéti,"zapéti -pôjem dov., zapój zapójte tudi zapôj zapôjte; zapél (ẹ́ ó) \n1. izoblikovati tone, melodije z govorilnimi organi: zapel bi, če bi znal; od veselja zapeti; glasno, veselo, žalostno zapeti\n // preh. izraziti, posredovati določeno besedilo s petjem: zapeti budnico, zdravljico, žalostinko / zapeti (pesem) o ljubezni / elipt., pog. zapeti katero / zapel je: Žive naj vsi narodi\n♦ muz. zapeti lestvico, melodijo\n2. začeti peti: globoko je vdihnil in zapel; ko se je znočilo, so fantje zapeli / zapeti ob spremljavi klavirja\n3. ekspr. izraziti misli v vezani besedi: pesnik je zapel o svojih čustvih / kdo je v slovenščini prvi zapel to verzno obliko spesnil; pren., pesn. zapoj, duša, o bolesti\n4. ekspr. pojoče reči, povedati: sprevodnik je zapel ime postaje / dobro jutro, je zapel sosed\n // reči, povedati sploh: zapel je celo tožbo; knjiž. pošteno mu jih je zapel zelo ga je oštel\n5. oglasiti se z določenimi, za posamezno vrsto (ptic, žuželk) značilnimi glasovi: v grmovju so zapele ptice; petelin je dvakrat zapel\n // ekspr. dati, oddati značilen zvok: rog, struna, zvon zapoje; ura na steni je zapela / vile so zapele, ko so udarile ob tla / motor je zapel zabrnel; vsake toliko časa zapoje telefon zazvoni\n // izraža začetek dejanja, dejanje, kot ga določa sobesedilo: prišlo je poletje in kose so zapele / če se žival upira, zapoje bič, palica je tepena; v gozdu je zapela sekira se je začelo sekati; pred mrakom je zapel veter in se prelevil v vihar začel pihati\n● star. bili so zadolženi in boben je zapel njihovo premoženje je šlo na dražbo; star. na Laškem je zapel boben se je začela vojna; star. vstal je, preden je zapel petelin zelo zgodaj; ekspr. zapel je petelin na strehi začelo je goreti; ekspr. srce mu je zapelo zelo se je razveselil; evfem. zvon mu je zadnjič zapel umrl je; žarg. ujeti zločinec je končno zapel začel govoriti o svojem dejanju; pesn. petelin je zapel beli dan s petjem naznanil, da se dani; ekspr. zapeti komu hvalo zelo ga pohvaliti; star. zapeti novo mašo postati duhovnik; star. če ne boš ubogal, ti bom zapel drugo pesem te bom natepel, pretepel\nzapét -a -o: zapeta beseda; zapeta pesem\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zaplamenéti,"zaplamenéti -ím dov. (ẹ́ í) \n1. zagoreti s plamenom: ogenj zaplameni / kres je zaplamenel / plamen zaplameni; pren. ogenj upora zaplameni\n2. ekspr. zasvetiti, zasijati: luč, žarnica zaplameni; sonce zaplameni / nebo je zaplamenelo v večerni zarji zažarelo; vrh gore zaplameni v soncu / pesn. oči so mu zaplamenele\n3. knjiž. pojaviti se, začeti obstajati v veliki meri: med njima je zaplamenela ljubezen; strast, želja zaplameni v njem / svetovna vojna je zaplamenela\n● knjiž., ekspr. obraz mu je zaplamenel od sramu zardel je\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zaplamtéti,"zaplamtéti -ím dov. (ẹ́ í) \n1. zagoreti s plamenom: ogenj zaplamti\n2. ekspr. zažareti: nebo zaplamti / pesn. njene temne oči so zaplamtele\n3. knjiž. pojaviti se, začeti obstajati v veliki meri: življenjska sila v njej je znova zaplamtela; med njima je zaplamtelo sovraštvo\n● ekspr. ko jo je zagledal, je ves zaplamtel se zelo čustveno vznemiril\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zasmejáti se,"zasmejáti se -sméjem se tudi -ím se stil. -sméjam se dov., zasméj se in zasmèj se zasméjte se stil. zasméjaj se zasmejájte se; zasmejál se stil. zasméjal se zasmejála se (á ẹ́, í, ẹ́) z izrazom na obrazu, navadno z raztegnjenimi ustnicami, in glasovi pokazati zlasti veselje, srečo: spogledali so se in se zasmejali; komaj se je zasmejal, že ga je posilil kašelj; zasmejati se komu; zasmejal se je sam pri sebi; ekspr. zasmejati se od srca; zasmejati se na ves glas; ekspr. zasmejati se na vse grlo, na vsa usta močno, glasno; hripavo, ekspr. široko se zasmejati; prisrčno, veselo, zaničljivo se zasmejati; zasmejal se je kot bi orehe stresal glasno, hrupno\n // ekspr.: ves obraz se mu je zasmejal; zasmejati se z očmi / pa smo te, so se zasmejali; pren., ekspr. srce se mu je zasmejalo\n● ekspr. ob pogledu na polno mizo se mu je kar samo zasmejalo njegov obraz je izrazil veliko zadovoljstvo, veselje; pesn. izza oblakov se je zasmejal mesec je zasvetil, zasijal; pog. zasmejati se komu v pest komu se (skrivaj) posmehniti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zasnívati,"zasnívati -am dov. (í) pesn. zasanjati, zasanjariti: zasnivati o prihodnji sreči\n // zaspati: v hipu sta globoko zasnivala\n● vznes. zasnivati večni sen umreti \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zbújati,"zbújati -am nedov. (ú) \n1. povzročati prehod iz spečega stanja v budno: zbujati delavce; zbujali so jih ob štirih / zbuja ga budilka; pren., pesn. spomladi zbuja svet ptičje petje\n // spravljati koga k zavesti: zbujati koga z udarci, s hladno vodo\n // v zvezi z iz povzročati prenehavanje stanja, kot ga določa samostalnik: zbujati koga iz globokega spanja / zbujati ljudi iz otopelosti\n2. vzbujati: zbujati ljubezen, sovraštvo; reklame so mu zbujale želje / hodil je počasi, da ne bi zbujal sumov; z vedenjem je zbujal spoštovanje; njen obraz zbuja zaupanje / zbujati občutek trdnosti; mesto zbuja vtis urejenosti\nzbújati se prehajati iz spečega stanja v budno: zaradi hrupa se pogosto zbuja; zbujati se ob petih / zbuja se vsa potna\n // prihajati k zavesti: po hladnih obkladkih se je začel zbujati\n // v zvezi z iz prenehavati biti v stanju, kot ga določa samostalnik: zbujati se iz spanja / počasi se je zbujala iz nezavesti\n♦ med. zbujati se iz narkoze\nzbujajóč -a -e: otrok je zbujajoč se jokal; skrb zbujajoč podatek\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zdramíti,"zdramíti in zdrámiti -im dov. (ī á) \n1. povzročiti prehod iz spečega stanja v budno; zbuditi: trkanje na vrata ga je zdramilo; spal je tako trdno, da ga niso mogli zdramiti; otroci so se že zdramili; pren., pesn. ko se je sonce zdramilo, so se odpravili na pot\n // v zvezi z iz povzročiti prenehanje stanja, kot ga določa samostalnik: zdramiti koga iz spanja / zdramiti ponesrečenca iz nezavesti / ropot ga je zdramil iz razmišljanja; ekspr. zdramiti se iz sanjarij\n2. knjiž. povzročiti, da kaj nastane; vzbuditi: zdramiti komu domišljijo; zdramiti zanimanje za zgodovino\nzdrámljen -a -o: zdramljen otrok; napol zdramljen je prikimal\n \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
zefír,"zefír -ja m (ī) pesn. lahen, navadno topel veter: pihljanje zefirja \nSlovar slovenskega knjižnega jezika, www.fran.si, dostop 4. 12. 2016."
